===30epoch, lr=5e-5
running on cuda5
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_25/cifar10/CAE/main_task_acc.txt
num_exp:1, epochs:30, batchsize:2048, lambda:1.0
Epoch 0% 	 train_loss:6.49 train_acc:0.07 test_acc:0.09
Epoch 1% 	 train_loss:5.77 train_acc:0.06 test_acc:0.14
Epoch 2% 	 train_loss:5.14 train_acc:0.05 test_acc:0.14
Epoch 3% 	 train_loss:4.49 train_acc:0.06 test_acc:0.15
Epoch 4% 	 train_loss:4.07 train_acc:0.06 test_acc:0.15
Epoch 5% 	 train_loss:3.79 train_acc:0.06 test_acc:0.19
Epoch 6% 	 train_loss:3.62 train_acc:0.05 test_acc:0.19
Epoch 7% 	 train_loss:3.51 train_acc:0.06 test_acc:0.21
Epoch 8% 	 train_loss:3.34 train_acc:0.04 test_acc:0.21
Epoch 9% 	 train_loss:3.25 train_acc:0.04 test_acc:0.20
Epoch 10% 	 train_loss:3.23 train_acc:0.05 test_acc:0.23
Epoch 11% 	 train_loss:3.13 train_acc:0.05 test_acc:0.24
Epoch 12% 	 train_loss:3.08 train_acc:0.06 test_acc:0.25
Epoch 13% 	 train_loss:3.01 train_acc:0.05 test_acc:0.25
Epoch 14% 	 train_loss:2.94 train_acc:0.05 test_acc:0.25
Epoch 15% 	 train_loss:2.95 train_acc:0.05 test_acc:0.25
Epoch 16% 	 train_loss:2.89 train_acc:0.05 test_acc:0.27
Epoch 17% 	 train_loss:2.83 train_acc:0.04 test_acc:0.26
Epoch 18% 	 train_loss:2.83 train_acc:0.05 test_acc:0.27
Epoch 19% 	 train_loss:2.81 train_acc:0.06 test_acc:0.26
Epoch 20% 	 train_loss:2.79 train_acc:0.03 test_acc:0.27
Epoch 21% 	 train_loss:2.75 train_acc:0.05 test_acc:0.28
Epoch 22% 	 train_loss:2.73 train_acc:0.04 test_acc:0.31
Epoch 23% 	 train_loss:2.73 train_acc:0.05 test_acc:0.29
Epoch 24% 	 train_loss:2.71 train_acc:0.04 test_acc:0.31
Epoch 25% 	 train_loss:2.71 train_acc:0.03 test_acc:0.31
Epoch 26% 	 train_loss:2.67 train_acc:0.04 test_acc:0.32
Epoch 27% 	 train_loss:2.64 train_acc:0.03 test_acc:0.31
Epoch 28% 	 train_loss:2.63 train_acc:0.04 test_acc:0.31
Epoch 29% 	 train_loss:2.63 train_acc:0.03 test_acc:0.32
time used = 704.0324745178223
num_exp:1, epochs:30, batchsize:2048, lambda:0.5
Epoch 0% 	 train_loss:6.39 train_acc:0.06 test_acc:0.11
Epoch 1% 	 train_loss:5.81 train_acc:0.07 test_acc:0.17
Epoch 2% 	 train_loss:5.20 train_acc:0.06 test_acc:0.18
Epoch 3% 	 train_loss:4.50 train_acc:0.05 test_acc:0.17
Epoch 4% 	 train_loss:4.12 train_acc:0.06 test_acc:0.20
Epoch 5% 	 train_loss:3.86 train_acc:0.04 test_acc:0.22
Epoch 6% 	 train_loss:3.64 train_acc:0.05 test_acc:0.25
Epoch 7% 	 train_loss:3.51 train_acc:0.05 test_acc:0.25
Epoch 8% 	 train_loss:3.42 train_acc:0.06 test_acc:0.26
Epoch 9% 	 train_loss:3.29 train_acc:0.05 test_acc:0.28
Epoch 10% 	 train_loss:3.16 train_acc:0.04 test_acc:0.29
Epoch 11% 	 train_loss:3.15 train_acc:0.06 test_acc:0.28
Epoch 12% 	 train_loss:3.07 train_acc:0.07 test_acc:0.30
Epoch 13% 	 train_loss:3.05 train_acc:0.05 test_acc:0.31
Epoch 14% 	 train_loss:2.96 train_acc:0.04 test_acc:0.32
Epoch 15% 	 train_loss:2.95 train_acc:0.06 test_acc:0.33
Epoch 16% 	 train_loss:2.89 train_acc:0.06 test_acc:0.33
Epoch 17% 	 train_loss:2.84 train_acc:0.04 test_acc:0.33
Epoch 18% 	 train_loss:2.82 train_acc:0.05 test_acc:0.33
Epoch 19% 	 train_loss:2.80 train_acc:0.03 test_acc:0.33
Epoch 20% 	 train_loss:2.77 train_acc:0.05 test_acc:0.34
Epoch 21% 	 train_loss:2.77 train_acc:0.04 test_acc:0.35
Epoch 22% 	 train_loss:2.74 train_acc:0.05 test_acc:0.35
Epoch 23% 	 train_loss:2.72 train_acc:0.03 test_acc:0.35
Epoch 24% 	 train_loss:2.69 train_acc:0.03 test_acc:0.35
Epoch 25% 	 train_loss:2.67 train_acc:0.04 test_acc:0.35
Epoch 26% 	 train_loss:2.66 train_acc:0.03 test_acc:0.36
Epoch 27% 	 train_loss:2.64 train_acc:0.03 test_acc:0.37
Epoch 28% 	 train_loss:2.61 train_acc:0.02 test_acc:0.36
Epoch 29% 	 train_loss:2.61 train_acc:0.02 test_acc:0.37
time used = 732.0625085830688
num_exp:1, epochs:30, batchsize:2048, lambda:0.1
Epoch 0% 	 train_loss:3.76 train_acc:0.07 test_acc:0.10
Epoch 1% 	 train_loss:1.49 train_acc:0.02 test_acc:0.36
Epoch 2% 	 train_loss:1.13 train_acc:0.02 test_acc:0.43
Epoch 3% 	 train_loss:0.77 train_acc:0.01 test_acc:0.43
Epoch 4% 	 train_loss:0.58 train_acc:0.01 test_acc:0.42
Epoch 5% 	 train_loss:0.52 train_acc:0.01 test_acc:0.44
Epoch 6% 	 train_loss:0.47 train_acc:0.00 test_acc:0.45
Epoch 7% 	 train_loss:0.49 train_acc:0.00 test_acc:0.45
Epoch 8% 	 train_loss:0.41 train_acc:0.00 test_acc:0.45
Epoch 9% 	 train_loss:0.45 train_acc:0.00 test_acc:0.44
Epoch 10% 	 train_loss:0.42 train_acc:0.00 test_acc:0.45
Epoch 11% 	 train_loss:0.45 train_acc:0.00 test_acc:0.46
Epoch 12% 	 train_loss:0.42 train_acc:0.00 test_acc:0.46
Epoch 13% 	 train_loss:0.39 train_acc:0.00 test_acc:0.46
Epoch 14% 	 train_loss:0.41 train_acc:0.00 test_acc:0.43
Epoch 15% 	 train_loss:0.39 train_acc:0.00 test_acc:0.47
Epoch 16% 	 train_loss:0.47 train_acc:0.00 test_acc:0.45
Epoch 17% 	 train_loss:0.39 train_acc:0.00 test_acc:0.43
Epoch 18% 	 train_loss:0.44 train_acc:0.00 test_acc:0.45
Epoch 19% 	 train_loss:0.38 train_acc:0.00 test_acc:0.46
Epoch 20% 	 train_loss:0.42 train_acc:0.00 test_acc:0.46
Epoch 21% 	 train_loss:0.35 train_acc:0.00 test_acc:0.46
Epoch 22% 	 train_loss:0.36 train_acc:0.00 test_acc:0.46
Epoch 23% 	 train_loss:0.43 train_acc:0.00 test_acc:0.45
Epoch 24% 	 train_loss:0.37 train_acc:0.00 test_acc:0.44
Epoch 25% 	 train_loss:0.36 train_acc:0.00 test_acc:0.47
Epoch 26% 	 train_loss:0.37 train_acc:0.00 test_acc:0.46
Epoch 27% 	 train_loss:0.38 train_acc:0.00 test_acc:0.46
Epoch 28% 	 train_loss:0.34 train_acc:0.00 test_acc:0.46
Epoch 29% 	 train_loss:0.32 train_acc:0.00 test_acc:0.46
time used = 729.7880601882935
num_exp:1, epochs:30, batchsize:2048, lambda:0.0
Epoch 0% 	 train_loss:4.14 train_acc:0.07 test_acc:0.12
Epoch 1% 	 train_loss:1.41 train_acc:0.03 test_acc:0.44
Epoch 2% 	 train_loss:0.65 train_acc:0.02 test_acc:0.51
Epoch 3% 	 train_loss:0.50 train_acc:0.02 test_acc:0.51
Epoch 4% 	 train_loss:0.36 train_acc:0.01 test_acc:0.52
Epoch 5% 	 train_loss:0.16 train_acc:0.01 test_acc:0.51
Epoch 6% 	 train_loss:0.15 train_acc:0.00 test_acc:0.52
Epoch 7% 	 train_loss:0.13 train_acc:0.00 test_acc:0.53
Epoch 8% 	 train_loss:0.17 train_acc:0.00 test_acc:0.53
Epoch 9% 	 train_loss:0.07 train_acc:0.00 test_acc:0.53
Epoch 10% 	 train_loss:0.08 train_acc:0.00 test_acc:0.53
Epoch 11% 	 train_loss:0.03 train_acc:0.00 test_acc:0.53
Epoch 12% 	 train_loss:0.04 train_acc:0.00 test_acc:0.53
Epoch 13% 	 train_loss:0.05 train_acc:0.00 test_acc:0.53
Epoch 14% 	 train_loss:0.05 train_acc:0.00 test_acc:0.53
Epoch 15% 	 train_loss:0.05 train_acc:0.00 test_acc:0.51
Epoch 16% 	 train_loss:0.04 train_acc:0.00 test_acc:0.53
Epoch 17% 	 train_loss:0.06 train_acc:0.00 test_acc:0.53
Epoch 18% 	 train_loss:0.14 train_acc:0.00 test_acc:0.51
Epoch 19% 	 train_loss:0.04 train_acc:0.00 test_acc:0.53
Epoch 20% 	 train_loss:0.03 train_acc:0.00 test_acc:0.53
Epoch 21% 	 train_loss:0.01 train_acc:0.00 test_acc:0.53
Epoch 22% 	 train_loss:0.02 train_acc:0.00 test_acc:0.53
Epoch 23% 	 train_loss:0.02 train_acc:0.00 test_acc:0.53
Epoch 24% 	 train_loss:0.02 train_acc:0.00 test_acc:0.54
Epoch 25% 	 train_loss:0.04 train_acc:0.00 test_acc:0.54
Epoch 26% 	 train_loss:0.03 train_acc:0.00 test_acc:0.54
Epoch 27% 	 train_loss:0.02 train_acc:0.00 test_acc:0.54
Epoch 28% 	 train_loss:0.01 train_acc:0.00 test_acc:0.55
Epoch 29% 	 train_loss:0.02 train_acc:0.00 test_acc:0.54
time used = 728.9653468132019
===30epoch, lr=1e-4
running on cuda5
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_25/cifar10/CAE/main_task_acc.txt
num_exp:1, epochs:30, batchsize:2048, lambda:1.0
Epoch 0% 	 train_loss:6.15 train_acc:0.08 test_acc:0.09
Epoch 1% 	 train_loss:5.00 train_acc:0.08 test_acc:0.15
