2
w/o
running on cuda5
path=./exp_result_2048_2/mnist/main_task_acc.txt
Epoch 0% 	 train_loss:1.27 train_acc:0.81 test_acc:0.74
Epoch 1% 	 train_loss:0.59 train_acc:0.89 test_acc:0.84
Epoch 2% 	 train_loss:0.38 train_acc:0.91 test_acc:0.88
Epoch 3% 	 train_loss:0.30 train_acc:0.93 test_acc:0.89
Epoch 4% 	 train_loss:0.27 train_acc:0.94 test_acc:0.91
Epoch 5% 	 train_loss:0.24 train_acc:0.95 test_acc:0.91
Epoch 6% 	 train_loss:0.23 train_acc:0.95 test_acc:0.92
Epoch 7% 	 train_loss:0.21 train_acc:0.96 test_acc:0.92
Epoch 8% 	 train_loss:0.20 train_acc:0.96 test_acc:0.93
Epoch 9% 	 train_loss:0.19 train_acc:0.97 test_acc:0.93
Epoch 10% 	 train_loss:0.18 train_acc:0.97 test_acc:0.93
Epoch 11% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 12% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 13% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 14% 	 train_loss:0.15 train_acc:0.97 test_acc:0.94
Epoch 15% 	 train_loss:0.14 train_acc:0.97 test_acc:0.94
Epoch 16% 	 train_loss:0.14 train_acc:0.97 test_acc:0.95
Epoch 17% 	 train_loss:0.13 train_acc:0.97 test_acc:0.95
Epoch 18% 	 train_loss:0.13 train_acc:0.97 test_acc:0.95
Epoch 19% 	 train_loss:0.12 train_acc:0.97 test_acc:0.95
time used = 89.47344613075256
Epoch 0% 	 train_loss:1.31 train_acc:0.76 test_acc:0.73
Epoch 1% 	 train_loss:0.64 train_acc:0.88 test_acc:0.84
Epoch 2% 	 train_loss:0.41 train_acc:0.92 test_acc:0.88
Epoch 3% 	 train_loss:0.32 train_acc:0.93 test_acc:0.90
Epoch 4% 	 train_loss:0.28 train_acc:0.94 test_acc:0.91
Epoch 5% 	 train_loss:0.26 train_acc:0.95 test_acc:0.91
Epoch 6% 	 train_loss:0.25 train_acc:0.95 test_acc:0.92
Epoch 7% 	 train_loss:0.23 train_acc:0.95 test_acc:0.92
Epoch 8% 	 train_loss:0.22 train_acc:0.96 test_acc:0.93
Epoch 9% 	 train_loss:0.21 train_acc:0.96 test_acc:0.93
Epoch 10% 	 train_loss:0.20 train_acc:0.96 test_acc:0.93
Epoch 11% 	 train_loss:0.19 train_acc:0.96 test_acc:0.93
Epoch 12% 	 train_loss:0.19 train_acc:0.97 test_acc:0.94
Epoch 13% 	 train_loss:0.18 train_acc:0.97 test_acc:0.94
Epoch 14% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 15% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 16% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 17% 	 train_loss:0.16 train_acc:0.97 test_acc:0.95
Epoch 18% 	 train_loss:0.15 train_acc:0.97 test_acc:0.95
Epoch 19% 	 train_loss:0.15 train_acc:0.97 test_acc:0.95
time used = 82.74035978317261
Epoch 0% 	 train_loss:1.32 train_acc:0.75 test_acc:0.75
Epoch 1% 	 train_loss:0.61 train_acc:0.88 test_acc:0.86
Epoch 2% 	 train_loss:0.40 train_acc:0.92 test_acc:0.88
Epoch 3% 	 train_loss:0.32 train_acc:0.93 test_acc:0.90
Epoch 4% 	 train_loss:0.28 train_acc:0.95 test_acc:0.91
Epoch 5% 	 train_loss:0.26 train_acc:0.95 test_acc:0.91
Epoch 6% 	 train_loss:0.24 train_acc:0.95 test_acc:0.92
Epoch 7% 	 train_loss:0.23 train_acc:0.96 test_acc:0.92
Epoch 8% 	 train_loss:0.22 train_acc:0.96 test_acc:0.93
Epoch 9% 	 train_loss:0.21 train_acc:0.97 test_acc:0.93
Epoch 10% 	 train_loss:0.20 train_acc:0.97 test_acc:0.93
Epoch 11% 	 train_loss:0.19 train_acc:0.97 test_acc:0.94
Epoch 12% 	 train_loss:0.18 train_acc:0.97 test_acc:0.94
Epoch 13% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 14% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 15% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 16% 	 train_loss:0.16 train_acc:0.97 test_acc:0.95
Epoch 17% 	 train_loss:0.15 train_acc:0.97 test_acc:0.95
Epoch 18% 	 train_loss:0.14 train_acc:0.97 test_acc:0.95
Epoch 19% 	 train_loss:0.14 train_acc:0.97 test_acc:0.95
time used = 78.08540320396423
DP-L
running on cuda5
path=./exp_result_2048_2/mnist/Laplace/main_task_acc.txt
Epoch 0% 	 train_loss:1.27 train_acc:0.81 test_acc:0.74
Epoch 1% 	 train_loss:0.59 train_acc:0.89 test_acc:0.84
Epoch 2% 	 train_loss:0.38 train_acc:0.91 test_acc:0.88
Epoch 3% 	 train_loss:0.30 train_acc:0.93 test_acc:0.89
Epoch 4% 	 train_loss:0.27 train_acc:0.94 test_acc:0.91
Epoch 5% 	 train_loss:0.24 train_acc:0.95 test_acc:0.91
Epoch 6% 	 train_loss:0.23 train_acc:0.96 test_acc:0.92
Epoch 7% 	 train_loss:0.21 train_acc:0.96 test_acc:0.92
Epoch 8% 	 train_loss:0.20 train_acc:0.96 test_acc:0.93
Epoch 9% 	 train_loss:0.19 train_acc:0.97 test_acc:0.93
Epoch 10% 	 train_loss:0.18 train_acc:0.97 test_acc:0.93
Epoch 11% 	 train_loss:0.17 train_acc:0.97 test_acc:0.94
Epoch 12% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 13% 	 train_loss:0.16 train_acc:0.97 test_acc:0.94
Epoch 14% 	 train_loss:0.15 train_acc:0.97 test_acc:0.94
Epoch 15% 	 train_loss:0.14 train_acc:0.97 test_acc:0.94
Epoch 16% 	 train_loss:0.14 train_acc:0.97 test_acc:0.95
Epoch 17% 	 train_loss:0.13 train_acc:0.97 test_acc:0.95
Epoch 18% 	 train_loss:0.13 train_acc:0.97 test_acc:0.95
Epoch 19% 	 train_loss:0.12 train_acc:0.97 test_acc:0.95
time used = 91.68799424171448
Epoch 0% 	 train_loss:1.26 train_acc:0.79 test_acc:0.74
Epoch 1% 	 train_loss:0.59 train_acc:0.89 test_acc:0.84
Epoch 2% 	 train_loss:0.39 train_acc:0.92 test_acc:0.88
Epoch 3% 	 train_loss:0.31 train_acc:0.93 test_acc:0.89
Epoch 4% 	 train_loss:0.28 train_acc:0.94 test_acc:0.91
Epoch 5% 	 train_loss:0.25 train_acc:0.95 test_acc:0.91
Epoch 6% 	 train_loss:0.24 train_acc:0.96 test_acc:0.92
Epoch 7% 	 train_loss:0.23 train_acc:0.96 test_acc:0.92
Epoch 8% 	 train_loss:0.22 train_acc:0.95 test_acc:0.92
Epoch 9% 	 train_loss:0.21 train_acc:0.96 test_acc:0.93
Epoch 10% 	 train_loss:0.20 train_acc:0.96 test_acc:0.93
Epoch 11% 	 train_loss:0.19 train_acc:0.96 test_acc:0.93
Epoch 12% 	 train_loss:0.18 train_acc:0.96 test_acc:0.94
