4
DP-L
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_4/cifar10/Laplace/main_task_acc.txt
Epoch 0% 	 train_loss:1.61 train_acc:0.44 test_acc:0.21
Epoch 1% 	 train_loss:1.30 train_acc:0.54 test_acc:0.51
Epoch 2% 	 train_loss:1.06 train_acc:0.63 test_acc:0.57
Epoch 3% 	 train_loss:0.83 train_acc:0.70 test_acc:0.62
Epoch 4% 	 train_loss:0.62 train_acc:0.76 test_acc:0.65
Epoch 5% 	 train_loss:0.47 train_acc:0.84 test_acc:0.65
Epoch 6% 	 train_loss:0.33 train_acc:0.90 test_acc:0.62
Epoch 7% 	 train_loss:0.29 train_acc:0.90 test_acc:0.63
Epoch 8% 	 train_loss:0.20 train_acc:0.94 test_acc:0.62
Epoch 9% 	 train_loss:0.17 train_acc:0.94 test_acc:0.62
Epoch 10% 	 train_loss:0.14 train_acc:0.95 test_acc:0.63
Epoch 11% 	 train_loss:0.09 train_acc:0.96 test_acc:0.64
Epoch 12% 	 train_loss:0.07 train_acc:0.97 test_acc:0.68
Epoch 13% 	 train_loss:0.05 train_acc:0.98 test_acc:0.66
Epoch 14% 	 train_loss:0.03 train_acc:0.99 test_acc:0.67
Epoch 15% 	 train_loss:0.02 train_acc:0.99 test_acc:0.70
Epoch 16% 	 train_loss:0.02 train_acc:0.99 test_acc:0.70
Epoch 17% 	 train_loss:0.01 train_acc:1.00 test_acc:0.70
Epoch 18% 	 train_loss:0.01 train_acc:1.00 test_acc:0.72
Epoch 19% 	 train_loss:0.00 train_acc:1.00 test_acc:0.72
Epoch 20% 	 train_loss:0.00 train_acc:1.00 test_acc:0.73
Epoch 21% 	 train_loss:0.00 train_acc:1.00 test_acc:0.73
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
