2
w/o
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_2/cifar10/main_task_acc.txt
Epoch 0% 	 train_loss:1.50 train_acc:0.47 test_acc:0.22
Epoch 1% 	 train_loss:1.24 train_acc:0.57 test_acc:0.49
Epoch 2% 	 train_loss:1.02 train_acc:0.65 test_acc:0.60
Epoch 3% 	 train_loss:0.87 train_acc:0.70 test_acc:0.62
Epoch 4% 	 train_loss:0.70 train_acc:0.76 test_acc:0.65
Epoch 5% 	 train_loss:0.55 train_acc:0.81 test_acc:0.69
Epoch 6% 	 train_loss:0.42 train_acc:0.87 test_acc:0.64
Epoch 7% 	 train_loss:0.31 train_acc:0.90 test_acc:0.69
Epoch 8% 	 train_loss:0.27 train_acc:0.91 test_acc:0.60
Epoch 9% 	 train_loss:0.20 train_acc:0.93 test_acc:0.60
Epoch 10% 	 train_loss:0.14 train_acc:0.96 test_acc:0.64
Epoch 11% 	 train_loss:0.11 train_acc:0.96 test_acc:0.62
Epoch 12% 	 train_loss:0.10 train_acc:0.97 test_acc:0.62
Epoch 13% 	 train_loss:0.08 train_acc:0.98 test_acc:0.70
Epoch 14% 	 train_loss:0.04 train_acc:0.99 test_acc:0.67
Epoch 15% 	 train_loss:0.04 train_acc:0.99 test_acc:0.74
Epoch 16% 	 train_loss:0.03 train_acc:0.99 test_acc:0.73
Epoch 17% 	 train_loss:0.03 train_acc:0.99 test_acc:0.72
Epoch 18% 	 train_loss:0.02 train_acc:0.99 test_acc:0.76
Epoch 19% 	 train_loss:0.02 train_acc:1.00 test_acc:0.76
Epoch 20% 	 train_loss:0.01 train_acc:1.00 test_acc:0.76
Epoch 21% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
time used = 233.1187868118286
Epoch 0% 	 train_loss:1.53 train_acc:0.44 test_acc:0.24
Epoch 1% 	 train_loss:1.19 train_acc:0.58 test_acc:0.40
Epoch 2% 	 train_loss:1.05 train_acc:0.62 test_acc:0.60
Epoch 3% 	 train_loss:0.90 train_acc:0.69 test_acc:0.64
Epoch 4% 	 train_loss:0.71 train_acc:0.77 test_acc:0.62
Epoch 5% 	 train_loss:0.61 train_acc:0.79 test_acc:0.65
Epoch 6% 	 train_loss:0.41 train_acc:0.86 test_acc:0.54
Epoch 7% 	 train_loss:0.29 train_acc:0.91 test_acc:0.52
Epoch 8% 	 train_loss:0.29 train_acc:0.92 test_acc:0.60
Epoch 9% 	 train_loss:0.20 train_acc:0.94 test_acc:0.64
Epoch 10% 	 train_loss:0.18 train_acc:0.94 test_acc:0.61
Epoch 11% 	 train_loss:0.14 train_acc:0.95 test_acc:0.66
Epoch 12% 	 train_loss:0.11 train_acc:0.96 test_acc:0.68
Epoch 13% 	 train_loss:0.08 train_acc:0.97 test_acc:0.68
Epoch 14% 	 train_loss:0.06 train_acc:0.98 test_acc:0.66
